store_id,status,timestamp_utc
8419537941919820732,active,2023-01-22 12:09:39.388884 UTC
54515546588432327,active,2023-01-24 09:06:42.605777 UTC
8377465688456570187,active,2023-01-24 09:07:26.441407 UTC
5955337179846162144,active,2023-01-24 09:08:07.634899 UTC
1169347689335808384,active,2023-01-24 09:08:18.436854 UTC
3739729523266121270,active,2023-01-24 09:08:23.138922 UTC
4430370444829587327,active,2023-01-24 09:09:37.456563 UTC
1912555533282230523,active,2023-01-24 09:09:58.684489 UTC
5489547402882838709,active,2023-01-24 09:10:28.873707 UTC
759601765366096871,active,2023-01-19 06:07:21.331383 UTC
5627904252074297008,active,2023-01-24 14:01:52.138196 UTC
2651685499613063745,active,2023-01-25 13:04:00.152582 UTC
5043046815492880667,active,2023-01-21 16:00:49.46544 UTC
2367299134091594697,active,2023-01-21 16:01:36.311245 UTC
6613902849003357359,active,2023-01-21 16:02:05.815869 UTC
1396650693591399695,active,2023-01-21 16:02:13.198837 UTC
837699569013981799,active,2023-01-20 17:04:14.098493 UTC
2057963137235512954,active,2023-01-21 17:15:29.921161 UTC
6108568838704593560,active,2023-01-21 17:15:36.013705 UTC
7815590034868021689,active,2023-01-21 17:15:39.285005 UTC
7493928216510270665,active,2023-01-21 17:15:43.777556 UTC
7961038966240415760,active,2023-01-24 05:58:13.493839 UTC
605803287923472894,active,2023-01-24 05:58:22.253512 UTC
5278384915350904550,active,2023-01-24 05:58:35.019985 UTC
8494749731668571682,active,2023-01-24 05:59:35.717711 UTC
4858828967449392712,active,2023-01-24 06:00:06.282107 UTC
7555752115160416405,active,2023-01-24 06:00:09.856329 UTC
8625022238145771938,active,2023-01-24 06:01:30.549983 UTC
4159147177864939740,active,2023-01-24 06:01:48.829267 UTC
8157355919956132858,active,2023-01-24 06:02:06.671383 UTC
3595154674145356045,active,2023-01-24 08:08:22.366068 UTC
5693932324957995427,active,2023-01-24 08:09:45.795033 UTC
8631502755712457479,active,2023-01-24 08:10:02.700743 UTC
7369215549436595643,active,2023-01-24 08:10:33.505185 UTC
5733393565264082443,active,2023-01-24 09:00:46.942944 UTC
7728374954598545135,active,2023-01-25 02:07:48.33676 UTC
6145374363035992256,active,2023-01-25 02:09:52.869892 UTC
8561928707963262710,active,2023-01-25 00:04:17.865825 UTC
2027378754189802522,active,2023-01-25 10:13:03.318748 UTC
1479710288891933797,active,2023-01-25 10:13:38.061919 UTC
3806273821496549274,active,2023-01-25 10:13:47.351845 UTC
145837327256477189,active,2023-01-25 10:14:37.890142 UTC
6339005690288403970,active,2023-01-25 11:04:06.243235 UTC
3040496153321072897,active,2023-01-25 11:05:06.305438 UTC
3324627668005357668,active,2023-01-25 11:05:09.666107 UTC
8104581577381117993,active,2023-01-25 11:06:28.617975 UTC
2967049083311293817,active,2023-01-25 11:07:06.71278 UTC
4997502274877708127,active,2023-01-25 11:08:09.857832 UTC
7986888914569899535,active,2023-01-25 11:08:16.356161 UTC
5449809553492927759,active,2023-01-25 11:10:02.926917 UTC
8462971639795075772,active,2023-01-25 11:10:05.776149 UTC
1856951586440652574,active,2023-01-25 11:11:15.959589 UTC
4610282578228966959,active,2023-01-25 03:09:12.844179 UTC
732239489643886995,active,2023-01-25 03:10:52.03287 UTC
